investor_id,age,gender,city_tier,income_bracket,occupation,education,primary_platform,years_investing,financial_literacy_score,self_reported_risk_appetite,monthly_savings_inr,total_portfolio_value_inr,has_aa_consent,direct_equity_inr,mutual_funds_inr,epf_inr,nps_inr,gold_physical_inr,gold_digital_inr,fixed_deposits_inr,ppf_inr,real_estate_estimate_inr,total_tracked_wealth_inr,total_estimated_wealth_inr,pct_wealth_on_single_platform,wealth_fragmentation_score,num_mutual_funds,num_direct_stocks,num_total_instruments,perceived_diversification_score,actual_diversification_score,diversification_gap,unique_underlying_stocks_in_mf,top15_stocks_cover_pct_of_mf,top_sector,top_sector_concentration_pct,top3_instruments_weight_pct,herfindahl_index,overlap_risk_flag,high_concentration_flag,knows_what_var_is,knows_sharpe_ratio,checks_portfolio_correlation,checks_sector_concentration,uses_stop_loss,simulates_before_trading,tracks_all_assets_in_one_place,risk_awareness_score_out_of_10,total_loss_last_18mo_inr,main_pain_point,would_use_parakh_simulator,willingness_to_pay_monthly_inr,preferred_channel,heard_of_account_aggregator,equity_to_total_wealth_pct,epf_gold_fd_share_pct,risk_loss_ratio,parakh_need_score
INV0001,36,Male,Tier 1,6L-10L,Salaried-Private,12th Pass,Upstox,3,5,Moderate,9273,300265,0,108977,191288,293119,0,430748,36633,0,0,0,630017,1060765,28.3,5,10,5,15,10.0,1.8,8.2,66,79.0,Diversified,53.2,67.6,0.174427,1,1,0,0,0,0,1,0,1,2.0,816,No idea what will happen if a stock falls,1,156,Mobile App,0,28.3,71.7,0.27,7.17
INV0002,58,Male,Tier 2,10L-20L,Retired,Graduate,Angel One,5,8,Conservative,31264,3053666,1,1261098,1792568,0,0,0,76558,1359828,375000,0,4865052,4865052,62.8,5,3,2,5,4.0,3.2,0.8,20,55.6,Diversified,63.4,65.9,0.204359,0,1,1,1,1,0,0,0,1,6.0,8875,Don't know if I'm really diversified,1,330,Web,1,62.8,37.2,0.29,3.18
INV0003,47,Male,Tier 3,<3L,Freelancer,Graduate,Groww,1,4,Conservative,3631,94208,0,54177,40031,0,10000,482350,0,0,10000,6494553,114208,7091111,1.3,6,6,4,10,8.0,1.7,6.3,60,77.8,Diversified,42.7,72.7,0.221945,1,1,0,0,0,0,0,0,0,0.0,12028,No idea what will happen if a stock falls,1,0,Web,0,1.3,98.7,12.77,7.5
INV0004,42,Female,Tier 2,6L-10L,Salaried-Private,10th Pass,Upstox,5,6,Moderate,12069,1385219,0,502644,882575,534101,0,372562,0,0,0,2747755,1919320,5039637,27.5,5,8,3,11,9.5,3.4,6.1,81,57.0,Diversified,50.4,59.4,0.152396,0,1,1,1,0,1,1,0,0,5.5,3428,No idea what will happen if a stock falls,1,235,Mobile App,0,27.5,72.5,0.25,5.21
INV0005,29,Male,Tier 3,6L-10L,Salaried-Private,Post-Graduate,Zerodha,1,4,Moderate,16053,319279,0,158771,160508,80189,40000,140227,0,0,40000,0,479468,619695,51.5,6,6,4,10,8.0,1.3,6.7,52,83.6,Diversified,51.2,77.5,0.223794,1,1,0,0,0,0,0,0,0,0.0,6219,Panic during market crashes,0,0,Web,0,51.5,48.5,1.95,7.64
INV0006,29,Male,Tier 2,6L-10L,Business Owner,Post-Graduate,Angel One,2,5,Moderate,7462,203141,0,92409,110732,0,0,75080,0,500887,80000,0,784028,859108,23.6,5,5,8,13,9.0,3.5,5.5,28,58.6,Diversified,49.7,62.9,0.159983,0,1,0,0,0,0,0,0,0,0.0,2607,No idea what will happen if a stock falls,0,0,WhatsApp Bot,0,23.6,76.4,1.28,6.92
INV0007,24,Female,Tier 2,6L-10L,Student,12th Pass,5paisa,1,2,Conservative,8007,68093,1,27718,40375,0,0,427811,0,0,0,0,68093,495904,13.7,3,3,4,7,5.0,2.4,2.6,15,68.8,Diversified,43.8,70.8,0.199442,1,1,0,0,0,0,0,0,1,1.0,0,Can't track all investments in one place,0,0,WhatsApp Bot,1,13.7,86.3,0.0,4.96
INV0008,52,Female,Tier 3,10L-20L,Business Owner,Graduate,Groww,5,5,Moderate,10021,552697,1,214552,338145,0,375000,104954,0,0,0,10950254,927697,11982905,4.6,5,11,8,19,10.0,3.7,6.3,125,66.7,Diversified,54.4,44.6,0.103432,1,0,0,0,0,1,0,0,1,2.5,9953,Don't know if I'm really diversified,1,283,Web,1,4.6,95.4,1.8,6.33
INV0009,42,Female,Tier 1,10L-20L,Salaried-Private,12th Pass,Upstox,3,2,Conservative,18153,456433,0,0,456433,516927,0,391972,39225,0,225000,0,1237585,1629557,28.0,6,6,0,6,6.0,4.8,1.2,53,55.0,Diversified,55.1,94.6,0.333729,0,1,0,0,0,0,1,0,0,1.0,3468,Can't track all investments in one place,0,0,Mobile App,0,28.0,72.0,0.76,5.37
INV0010,46,Female,Tier 2,20L-50L,Salaried-Govt,12th Pass,Groww,2,4,Conservative,46819,687232,1,0,687232,781016,0,171795,0,461912,0,4986634,1930160,7088589,9.7,6,3,0,3,3.0,3.8,0.0,15,65.8,Diversified,44.7,100.0,0.598626,1,1,0,0,0,0,0,0,1,1.0,0,Don't know if I'm really diversified,0,0,Mobile App,1,9.7,90.3,0.0,4.95
