investor_id,trade_date,trade_type,asset_class,instrument_name,trade_amount_inr,decision_basis,market_event_flag,market_event_name,loss_occurred,loss_amount_inr,checked_risk_before_trade,post_trade_regret_score,age,gender,city_tier,income_bracket,occupation,education,primary_platform,years_investing,financial_literacy_score,self_reported_risk_appetite,total_portfolio_value_inr,monthly_savings_inr,has_aa_consent,risk_awareness_score_out_of_10,knows_what_var_is,checks_portfolio_correlation,checks_sector_concentration,uses_stop_loss,simulates_before_trading,would_use_parakh_simulator,willingness_to_pay_monthly_inr,main_pain_point,preferred_channel,evt_date,evt_name,evt_type,evt_sectors_impacted,evt_avg_portfolio_impact_pct,evt_pct_sold_at_loss,evt_avg_loss_per_investor_inr,evt_panic_sell_rate_pct,evt_risk_checked_before_sell_pct,evt_sentiment,loss_pct_of_trade,uninformed_trade_flag,high_risk_trade_flag
INV0001,2024-01-17,BUY,Direct Equity,ITC,31141,Social Media Tip,0,No Event,0,0,0,1,36,Male,Tier 1,6L-10L,Salaried-Private,12th Pass,Upstox,3,5,Moderate,300265,9273,0,2.0,0,0,0,1,0,1,156,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,1,1
INV0001,2024-03-14,BUY,Mutual Fund,Franklin India Feeder US,13358,Own Research,0,No Event,0,0,1,1,36,Male,Tier 1,6L-10L,Salaried-Private,12th Pass,Upstox,3,5,Moderate,300265,9273,0,2.0,0,0,0,1,0,1,156,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0001,2025-05-13,BUY,Direct Equity,Dr Reddy's,3419,Technical Analysis,0,No Event,1,816,0,8,36,Male,Tier 1,6L-10L,Salaried-Private,12th Pass,Upstox,3,5,Moderate,300265,9273,0,2.0,0,0,0,1,0,1,156,No idea what will happen if a stock falls,Mobile App,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,23.87,0,0
INV0002,2024-05-19,BUY,Direct Equity,SBI,4145,Social Media Tip,0,No Event,1,979,0,8,58,Male,Tier 2,10L-20L,Retired,Graduate,Angel One,5,8,Conservative,3053666,31264,1,6.0,1,1,0,0,0,1,330,Don't know if I'm really diversified,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,23.62,1,1
INV0002,2024-05-20,BUY,Direct Equity,LIC,4886,Broker Recommendation,0,No Event,0,0,0,5,58,Male,Tier 2,10L-20L,Retired,Graduate,Angel One,5,8,Conservative,3053666,31264,1,6.0,1,1,0,0,0,1,330,Don't know if I'm really diversified,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0002,2024-07-03,SELL,Mutual Fund,Axis Small Cap,14248,Broker Recommendation,0,No Event,1,5560,0,9,58,Male,Tier 2,10L-20L,Retired,Graduate,Angel One,5,8,Conservative,3053666,31264,1,6.0,1,1,0,0,0,1,330,Don't know if I'm really diversified,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,39.02,0,0
INV0002,2024-12-29,BUY,Mutual Fund,Quant Active Fund,7412,News/Media,0,No Event,0,0,0,5,58,Male,Tier 2,10L-20L,Retired,Graduate,Angel One,5,8,Conservative,3053666,31264,1,6.0,1,1,0,0,0,1,330,Don't know if I'm really diversified,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,0,0
INV0002,2025-03-01,SELL,Direct Equity,Divi's Labs,10398,FOMO,0,No Event,0,0,0,5,58,Male,Tier 2,10L-20L,Retired,Graduate,Angel One,5,8,Conservative,3053666,31264,1,6.0,1,1,0,0,0,1,330,Don't know if I'm really diversified,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,0.0,1,1
INV0002,2025-03-11,BUY,Direct Equity,Nykaa,12193,Social Media Tip,0,No Event,1,2337,0,9,58,Male,Tier 2,10L-20L,Retired,Graduate,Angel One,5,8,Conservative,3053666,31264,1,6.0,1,1,0,0,0,1,330,Don't know if I'm really diversified,Web,No Event,No Event,No Event,No Event,0.0,0.0,0.0,0.0,0.0,No Event,19.17,1,1
INV0002,2025-04-05,BUY,Direct Equity,M&M,8399,Technical Analysis,1,Trump Tariff Shock,0,0,0,4,58,Male,Tier 2,10L-20L,Retired,Graduate,Angel One,5,8,Conservative,3053666,31264,1,6.0,1,1,0,0,0,1,330,Don't know if I'm really diversified,Web,2025-04-07,Trump Tariff Shock,Global Macro,IT/Export,-3.49,41.4,1803.0,51.8,6.2,Fear,0.0,0,0
